"","CAT_Cutoff","AvgSal","MDPs","faculty","companies","Placement","internationalfaculty","studentexchange","guestspeakers","sexratio"
"1",0.507872016251905,1,0.0318471337579618,1,0.742424242424242,1,0.642857142857143,0.232758620689655,0.127083333333333,0.30183194031765
"2",1,0.860116569525396,1,0.977011494252874,1,0.911504424778761,0.142857142857143,1,1,0.244240928205582
"3",0.863382427628238,0.78684429641965,0.0318471337579618,0.735632183908046,0.477272727272727,1,0.142857142857143,0.163793103448276,0.05625,0.247373813432744
"4",0.942610462163535,0.781015820149875,0.821656050955414,0.298850574712644,0.484848484848485,0.513274336283186,0,0.0517241379310345,0.125,0.217353198948291
"5",0.609446419502286,0.865945045795171,0.471337579617834,0.505747126436782,0.393939393939394,1,1,0.172413793103448,0.220833333333333,0.0182447014032211
"6",0.79735906551549,0.657785179017485,0.904458598726115,0.793103448275862,0.954545454545455,1,0.928571428571429,0.672413793103448,0.172916666666667,0.504280995078541
"7",0.253936008125952,0.458784346378018,0.656050955414013,0.666666666666667,0.901515151515151,1,0,0.181034482758621,0.0354166666666667,0.0649535495179667
"8",0.37328593194515,0.443796835970025,0.312101910828025,0.67816091954023,0.946969696969697,1,0,0.689655172413793,0,0.121247026417929
"9",0.609446419502286,0.259783513738551,0.382165605095541,0.67816091954023,0.227272727272727,1,0.857142857142857,0.189655172413793,0.34375,0
"10",0.609446419502286,0.521232306411324,0.140127388535032,0.471264367816092,0.333333333333333,1,0,0.241379310344828,0.2125,0.580670862879452
"11",0.863382427628238,0.70774354704413,0.54140127388535,0.28735632183908,0.734848484848485,0,0.285714285714286,0.103448275862069,0.227083333333333,0.278410750803389
"12",0.863382427628238,0.376353039134055,0.197452229299363,0.574712643678161,0.681818181818182,1,0,0,0.0979166666666667,0.679170318434122
"13",0.711020822752666,0.439633638634471,0.32484076433121,0.586206896551724,0.189393939393939,0.734513274336283,0,0.0344827586206897,0.11875,0.176363513786827
"14",0.507872016251905,0.413821815154038,0.24203821656051,0.172413793103448,0.5,0.336283185840708,0.5,0.0344827586206897,0.15625,0.12784837861525
"15",0.928390045708482,0.476269775187344,0,0.103448275862069,0,0.646017699115044,0,0,0.0583333333333333,0.537072743207713
"16",0.507872016251905,0.781015820149875,0.0127388535031847,0,0.46969696969697,1,0,0,0.0625,0.816827344434706
"17",0.863382427628238,0.557868442964197,0.127388535031847,0.206896551724138,0.053030303030303,0.734513274336283,0.214285714285714,0,0.0708333333333333,0.788280956554401
"18",0,0.141548709408826,0.101910828025478,0.459770114942529,0.393939393939394,1,0.0714285714285714,0.0258620689655172,0.15625,0.100382633975332
"19",0.948197054342306,0.621149042464613,0.0955414012738854,0.206896551724138,0.310606060606061,0.84070796460177,0.142857142857143,0,0.13125,1
"20",0,0,0.56687898089172,0.666666666666667,0.363636363636364,0.530973451327434,0,0.129310344827586,0.0645833333333333,0.039731229915279
